additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OPASPS,put,,american,2025-10-17,BATO,100,100,O:A251017P00100000,A
,OPASPS,put,,american,2025-10-17,BATO,100,105,O:A251017P00105000,A
,OPASPS,put,,american,2025-10-17,BATO,100,110,O:A251017P00110000,A
,OPASPS,put,,american,2025-10-17,BATO,100,115,O:A251017P00115000,A
,OPASPS,put,,american,2025-10-17,BATO,100,120,O:A251017P00120000,A
,OPASPS,put,,american,2025-10-17,BATO,100,125,O:A251017P00125000,A
,OPASPS,put,,american,2025-10-17,BATO,100,130,O:A251017P00130000,A
,OPASPS,put,,american,2025-10-17,BATO,100,135,O:A251017P00135000,A
,OPASPS,put,,american,2025-10-17,BATO,100,140,O:A251017P00140000,A
,OPASPS,put,,american,2025-10-17,BATO,100,145,O:A251017P00145000,A
,OPASPS,put,,american,2025-10-17,BATO,100,150,O:A251017P00150000,A
,OPASPS,put,,american,2025-10-17,BATO,100,155,O:A251017P00155000,A
,OPASPS,put,,american,2025-10-17,BATO,100,160,O:A251017P00160000,A
,OPASPS,put,,american,2025-10-17,BATO,100,165,O:A251017P00165000,A
,OPASPS,put,,american,2025-10-17,BATO,100,170,O:A251017P00170000,A
,OPASPS,put,,american,2025-10-17,BATO,100,175,O:A251017P00175000,A
,OPASPS,put,,american,2025-10-17,BATO,100,180,O:A251017P00180000,A
,OCASPS,call,,american,2025-11-21,BATO,100,55,O:A251121C00055000,A
,OCASPS,call,,american,2025-11-21,BATO,100,60,O:A251121C00060000,A
,OCASPS,call,,american,2025-11-21,BATO,100,65,O:A251121C00065000,A
,OCASPS,call,,american,2025-11-21,BATO,100,70,O:A251121C00070000,A
,OCASPS,call,,american,2025-11-21,BATO,100,75,O:A251121C00075000,A
,OCASPS,call,,american,2025-11-21,BATO,100,80,O:A251121C00080000,A
,OCASPS,call,,american,2025-11-21,BATO,100,85,O:A251121C00085000,A
,OCASPS,call,,american,2025-11-21,BATO,100,90,O:A251121C00090000,A
,OCASPS,call,,american,2025-11-21,BATO,100,95,O:A251121C00095000,A
,OCASPS,call,,american,2025-11-21,BATO,100,100,O:A251121C00100000,A
,OCASPS,call,,american,2025-11-21,BATO,100,105,O:A251121C00105000,A
,OCASPS,call,,american,2025-11-21,BATO,100,110,O:A251121C00110000,A
,OCASPS,call,,american,2025-11-21,BATO,100,115,O:A251121C00115000,A
,OCASPS,call,,american,2025-11-21,BATO,100,120,O:A251121C00120000,A
,OCASPS,call,,american,2025-11-21,BATO,100,125,O:A251121C00125000,A
,OCASPS,call,,american,2025-11-21,BATO,100,130,O:A251121C00130000,A
,OCASPS,call,,american,2025-11-21,BATO,100,135,O:A251121C00135000,A
,OCASPS,call,,american,2025-11-21,BATO,100,140,O:A251121C00140000,A
,OCASPS,call,,american,2025-11-21,BATO,100,145,O:A251121C00145000,A
,OCASPS,call,,american,2025-11-21,BATO,100,150,O:A251121C00150000,A
,OCASPS,call,,american,2025-11-21,BATO,100,155,O:A251121C00155000,A
,OCASPS,call,,american,2025-11-21,BATO,100,160,O:A251121C00160000,A
,OCASPS,call,,american,2025-11-21,BATO,100,165,O:A251121C00165000,A
,OCASPS,call,,american,2025-11-21,BATO,100,170,O:A251121C00170000,A
,OCASPS,call,,american,2025-11-21,BATO,100,175,O:A251121C00175000,A
,OPASPS,put,,american,2025-11-21,BATO,100,55,O:A251121P00055000,A
,OPASPS,put,,american,2025-11-21,BATO,100,60,O:A251121P00060000,A
,OPASPS,put,,american,2025-11-21,BATO,100,65,O:A251121P00065000,A
,OPASPS,put,,american,2025-11-21,BATO,100,70,O:A251121P00070000,A
,OPASPS,put,,american,2025-11-21,BATO,100,75,O:A251121P00075000,A
,OPASPS,put,,american,2025-11-21,BATO,100,80,O:A251121P00080000,A
,OPASPS,put,,american,2025-11-21,BATO,100,85,O:A251121P00085000,A
,OPASPS,put,,american,2025-11-21,BATO,100,90,O:A251121P00090000,A
,OPASPS,put,,american,2025-11-21,BATO,100,95,O:A251121P00095000,A
,OPASPS,put,,american,2025-11-21,BATO,100,100,O:A251121P00100000,A
,OPASPS,put,,american,2025-11-21,BATO,100,105,O:A251121P00105000,A
,OPASPS,put,,american,2025-11-21,BATO,100,110,O:A251121P00110000,A
,OPASPS,put,,american,2025-11-21,BATO,100,115,O:A251121P00115000,A
,OPASPS,put,,american,2025-11-21,BATO,100,120,O:A251121P00120000,A
,OPASPS,put,,american,2025-11-21,BATO,100,125,O:A251121P00125000,A
,OPASPS,put,,american,2025-11-21,BATO,100,130,O:A251121P00130000,A
,OPASPS,put,,american,2025-11-21,BATO,100,135,O:A251121P00135000,A
,OPASPS,put,,american,2025-11-21,BATO,100,140,O:A251121P00140000,A
,OPASPS,put,,american,2025-11-21,BATO,100,145,O:A251121P00145000,A
,OPASPS,put,,american,2025-11-21,BATO,100,150,O:A251121P00150000,A
,OPASPS,put,,american,2025-11-21,BATO,100,155,O:A251121P00155000,A
,OPASPS,put,,american,2025-11-21,BATO,100,160,O:A251121P00160000,A
,OPASPS,put,,american,2025-11-21,BATO,100,165,O:A251121P00165000,A
,OPASPS,put,,american,2025-11-21,BATO,100,170,O:A251121P00170000,A
,OPASPS,put,,american,2025-11-21,BATO,100,175,O:A251121P00175000,A
,OCASPS,call,,american,2026-01-16,BATO,100,55,O:A260116C00055000,A
,OCASPS,call,,american,2026-01-16,BATO,100,60,O:A260116C00060000,A
,OCASPS,call,,american,2026-01-16,BATO,100,65,O:A260116C00065000,A
,OCASPS,call,,american,2026-01-16,BATO,100,70,O:A260116C00070000,A
,OCASPS,call,,american,2026-01-16,BATO,100,75,O:A260116C00075000,A
,OCASPS,call,,american,2026-01-16,BATO,100,80,O:A260116C00080000,A
,OCASPS,call,,american,2026-01-16,BATO,100,85,O:A260116C00085000,A
,OCASPS,call,,american,2026-01-16,BATO,100,90,O:A260116C00090000,A
,OCASPS,call,,american,2026-01-16,BATO,100,95,O:A260116C00095000,A
,OCASPS,call,,american,2026-01-16,BATO,100,100,O:A260116C00100000,A
,OCASPS,call,,american,2026-01-16,BATO,100,105,O:A260116C00105000,A
,OCASPS,call,,american,2026-01-16,BATO,100,110,O:A260116C00110000,A
,OCASPS,call,,american,2026-01-16,BATO,100,115,O:A260116C00115000,A
,OCASPS,call,,american,2026-01-16,BATO,100,120,O:A260116C00120000,A
,OCASPS,call,,american,2026-01-16,BATO,100,125,O:A260116C00125000,A
,OCASPS,call,,american,2026-01-16,BATO,100,130,O:A260116C00130000,A
,OCASPS,call,,american,2026-01-16,BATO,100,135,O:A260116C00135000,A
,OCASPS,call,,american,2026-01-16,BATO,100,140,O:A260116C00140000,A
,OCASPS,call,,american,2026-01-16,BATO,100,145,O:A260116C00145000,A
,OCASPS,call,,american,2026-01-16,BATO,100,150,O:A260116C00150000,A
,OCASPS,call,,american,2026-01-16,BATO,100,155,O:A260116C00155000,A
,OCASPS,call,,american,2026-01-16,BATO,100,160,O:A260116C00160000,A
,OCASPS,call,,american,2026-01-16,BATO,100,165,O:A260116C00165000,A
,OCASPS,call,,american,2026-01-16,BATO,100,170,O:A260116C00170000,A
,OCASPS,call,,american,2026-01-16,BATO,100,175,O:A260116C00175000,A
,OCASPS,call,,american,2026-01-16,BATO,100,180,O:A260116C00180000,A
,OCASPS,call,,american,2026-01-16,BATO,100,185,O:A260116C00185000,A
,OCASPS,call,,american,2026-01-16,BATO,100,190,O:A260116C00190000,A
,OCASPS,call,,american,2026-01-16,BATO,100,195,O:A260116C00195000,A
,OCASPS,call,,american,2026-01-16,BATO,100,200,O:A260116C00200000,A
,OCASPS,call,,american,2026-01-16,BATO,100,210,O:A260116C00210000,A
,OCASPS,call,,american,2026-01-16,BATO,100,220,O:A260116C00220000,A
,OCASPS,call,,american,2026-01-16,BATO,100,230,O:A260116C00230000,A
,OPASPS,put,,american,2026-01-16,BATO,100,55,O:A260116P00055000,A
,OPASPS,put,,american,2026-01-16,BATO,100,60,O:A260116P00060000,A
,OPASPS,put,,american,2026-01-16,BATO,100,65,O:A260116P00065000,A
,OPASPS,put,,american,2026-01-16,BATO,100,70,O:A260116P00070000,A
,OPASPS,put,,american,2026-01-16,BATO,100,75,O:A260116P00075000,A
,OPASPS,put,,american,2026-01-16,BATO,100,80,O:A260116P00080000,A
,OPASPS,put,,american,2026-01-16,BATO,100,85,O:A260116P00085000,A
,OPASPS,put,,american,2026-01-16,BATO,100,90,O:A260116P00090000,A
,OPASPS,put,,american,2026-01-16,BATO,100,95,O:A260116P00095000,A
,OPASPS,put,,american,2026-01-16,BATO,100,100,O:A260116P00100000,A
,OPASPS,put,,american,2026-01-16,BATO,100,105,O:A260116P00105000,A
,OPASPS,put,,american,2026-01-16,BATO,100,110,O:A260116P00110000,A
,OPASPS,put,,american,2026-01-16,BATO,100,115,O:A260116P00115000,A
,OPASPS,put,,american,2026-01-16,BATO,100,120,O:A260116P00120000,A
,OPASPS,put,,american,2026-01-16,BATO,100,125,O:A260116P00125000,A
,OPASPS,put,,american,2026-01-16,BATO,100,130,O:A260116P00130000,A
,OPASPS,put,,american,2026-01-16,BATO,100,135,O:A260116P00135000,A
,OPASPS,put,,american,2026-01-16,BATO,100,140,O:A260116P00140000,A
,OPASPS,put,,american,2026-01-16,BATO,100,145,O:A260116P00145000,A
,OPASPS,put,,american,2026-01-16,BATO,100,150,O:A260116P00150000,A
,OPASPS,put,,american,2026-01-16,BATO,100,155,O:A260116P00155000,A
,OPASPS,put,,american,2026-01-16,BATO,100,160,O:A260116P00160000,A
,OPASPS,put,,american,2026-01-16,BATO,100,165,O:A260116P00165000,A
,OPASPS,put,,american,2026-01-16,BATO,100,170,O:A260116P00170000,A
,OPASPS,put,,american,2026-01-16,BATO,100,175,O:A260116P00175000,A
,OPASPS,put,,american,2026-01-16,BATO,100,180,O:A260116P00180000,A
,OPASPS,put,,american,2026-01-16,BATO,100,185,O:A260116P00185000,A
,OPASPS,put,,american,2026-01-16,BATO,100,190,O:A260116P00190000,A
,OPASPS,put,,american,2026-01-16,BATO,100,195,O:A260116P00195000,A
,OPASPS,put,,american,2026-01-16,BATO,100,200,O:A260116P00200000,A
,OPASPS,put,,american,2026-01-16,BATO,100,210,O:A260116P00210000,A
,OPASPS,put,,american,2026-01-16,BATO,100,220,O:A260116P00220000,A
,OPASPS,put,,american,2026-01-16,BATO,100,230,O:A260116P00230000,A
,OCASPS,call,,american,2026-02-20,BATO,100,60,O:A260220C00060000,A
,OCASPS,call,,american,2026-02-20,BATO,100,65,O:A260220C00065000,A
,OCASPS,call,,american,2026-02-20,BATO,100,70,O:A260220C00070000,A
,OCASPS,call,,american,2026-02-20,BATO,100,75,O:A260220C00075000,A
,OCASPS,call,,american,2026-02-20,BATO,100,80,O:A260220C00080000,A
,OCASPS,call,,american,2026-02-20,BATO,100,85,O:A260220C00085000,A
,OCASPS,call,,american,2026-02-20,BATO,100,90,O:A260220C00090000,A
,OCASPS,call,,american,2026-02-20,BATO,100,95,O:A260220C00095000,A
,OCASPS,call,,american,2026-02-20,BATO,100,100,O:A260220C00100000,A
,OCASPS,call,,american,2026-02-20,BATO,100,105,O:A260220C00105000,A
,OCASPS,call,,american,2026-02-20,BATO,100,110,O:A260220C00110000,A
,OCASPS,call,,american,2026-02-20,BATO,100,115,O:A260220C00115000,A
,OCASPS,call,,american,2026-02-20,BATO,100,120,O:A260220C00120000,A
,OCASPS,call,,american,2026-02-20,BATO,100,125,O:A260220C00125000,A
,OCASPS,call,,american,2026-02-20,BATO,100,130,O:A260220C00130000,A
,OCASPS,call,,american,2026-02-20,BATO,100,135,O:A260220C00135000,A
,OCASPS,call,,american,2026-02-20,BATO,100,140,O:A260220C00140000,A
,OCASPS,call,,american,2026-02-20,BATO,100,145,O:A260220C00145000,A
,OCASPS,call,,american,2026-02-20,BATO,100,150,O:A260220C00150000,A
,OCASPS,call,,american,2026-02-20,BATO,100,155,O:A260220C00155000,A
,OCASPS,call,,american,2026-02-20,BATO,100,160,O:A260220C00160000,A
,OCASPS,call,,american,2026-02-20,BATO,100,165,O:A260220C00165000,A
,OCASPS,call,,american,2026-02-20,BATO,100,170,O:A260220C00170000,A
,OCASPS,call,,american,2026-02-20,BATO,100,175,O:A260220C00175000,A
,OCASPS,call,,american,2026-02-20,BATO,100,180,O:A260220C00180000,A
,OCASPS,call,,american,2026-02-20,BATO,100,185,O:A260220C00185000,A
,OPASPS,put,,american,2026-02-20,BATO,100,60,O:A260220P00060000,A
,OPASPS,put,,american,2026-02-20,BATO,100,65,O:A260220P00065000,A
,OPASPS,put,,american,2026-02-20,BATO,100,70,O:A260220P00070000,A
,OPASPS,put,,american,2026-02-20,BATO,100,75,O:A260220P00075000,A
,OPASPS,put,,american,2026-02-20,BATO,100,80,O:A260220P00080000,A
,OPASPS,put,,american,2026-02-20,BATO,100,85,O:A260220P00085000,A
,OPASPS,put,,american,2026-02-20,BATO,100,90,O:A260220P00090000,A
,OPASPS,put,,american,2026-02-20,BATO,100,95,O:A260220P00095000,A
,OPASPS,put,,american,2026-02-20,BATO,100,100,O:A260220P00100000,A
,OPASPS,put,,american,2026-02-20,BATO,100,105,O:A260220P00105000,A
,OPASPS,put,,american,2026-02-20,BATO,100,110,O:A260220P00110000,A
,OPASPS,put,,american,2026-02-20,BATO,100,115,O:A260220P00115000,A
,OPASPS,put,,american,2026-02-20,BATO,100,120,O:A260220P00120000,A
,OPASPS,put,,american,2026-02-20,BATO,100,125,O:A260220P00125000,A
,OPASPS,put,,american,2026-02-20,BATO,100,130,O:A260220P00130000,A
,OPASPS,put,,american,2026-02-20,BATO,100,135,O:A260220P00135000,A
,OPASPS,put,,american,2026-02-20,BATO,100,140,O:A260220P00140000,A
,OPASPS,put,,american,2026-02-20,BATO,100,145,O:A260220P00145000,A
,OPASPS,put,,american,2026-02-20,BATO,100,150,O:A260220P00150000,A
,OPASPS,put,,american,2026-02-20,BATO,100,155,O:A260220P00155000,A
,OPASPS,put,,american,2026-02-20,BATO,100,160,O:A260220P00160000,A
,OPASPS,put,,american,2026-02-20,BATO,100,165,O:A260220P00165000,A
,OPASPS,put,,american,2026-02-20,BATO,100,170,O:A260220P00170000,A
,OPASPS,put,,american,2026-02-20,BATO,100,175,O:A260220P00175000,A
,OPASPS,put,,american,2026-02-20,BATO,100,180,O:A260220P00180000,A
,OPASPS,put,,american,2026-02-20,BATO,100,185,O:A260220P00185000,A
,OCASPS,call,,american,2026-03-20,BATO,100,55,O:A260320C00055000,A
,OCASPS,call,,american,2026-03-20,BATO,100,60,O:A260320C00060000,A
,OCASPS,call,,american,2026-03-20,BATO,100,65,O:A260320C00065000,A
,OCASPS,call,,american,2026-03-20,BATO,100,70,O:A260320C00070000,A
,OCASPS,call,,american,2026-03-20,BATO,100,75,O:A260320C00075000,A
,OCASPS,call,,american,2026-03-20,BATO,100,80,O:A260320C00080000,A
,OCASPS,call,,american,2026-03-20,BATO,100,85,O:A260320C00085000,A
,OCASPS,call,,american,2026-03-20,BATO,100,90,O:A260320C00090000,A
,OCASPS,call,,american,2026-03-20,BATO,100,95,O:A260320C00095000,A
,OCASPS,call,,american,2026-03-20,BATO,100,100,O:A260320C00100000,A
,OCASPS,call,,american,2026-03-20,BATO,100,105,O:A260320C00105000,A
,OCASPS,call,,american,2026-03-20,BATO,100,110,O:A260320C00110000,A
,OCASPS,call,,american,2026-03-20,BATO,100,115,O:A260320C00115000,A
,OCASPS,call,,american,2026-03-20,BATO,100,120,O:A260320C00120000,A
,OCASPS,call,,american,2026-03-20,BATO,100,125,O:A260320C00125000,A
,OCASPS,call,,american,2026-03-20,BATO,100,130,O:A260320C00130000,A
,OCASPS,call,,american,2026-03-20,BATO,100,135,O:A260320C00135000,A
,OCASPS,call,,american,2026-03-20,BATO,100,140,O:A260320C00140000,A
,OCASPS,call,,american,2026-03-20,BATO,100,145,O:A260320C00145000,A
,OCASPS,call,,american,2026-03-20,BATO,100,150,O:A260320C00150000,A
,OCASPS,call,,american,2026-03-20,BATO,100,155,O:A260320C00155000,A
,OCASPS,call,,american,2026-03-20,BATO,100,160,O:A260320C00160000,A
,OCASPS,call,,american,2026-03-20,BATO,100,165,O:A260320C00165000,A
,OCASPS,call,,american,2026-03-20,BATO,100,170,O:A260320C00170000,A
,OCASPS,call,,american,2026-03-20,BATO,100,175,O:A260320C00175000,A
,OCASPS,call,,american,2026-03-20,BATO,100,180,O:A260320C00180000,A
,OCASPS,call,,american,2026-03-20,BATO,100,185,O:A260320C00185000,A
,OCASPS,call,,american,2026-03-20,BATO,100,190,O:A260320C00190000,A
,OCASPS,call,,american,2026-03-20,BATO,100,195,O:A260320C00195000,A
,OCASPS,call,,american,2026-03-20,BATO,100,200,O:A260320C00200000,A
,OCASPS,call,,american,2026-03-20,BATO,100,210,O:A260320C00210000,A
,OCASPS,call,,american,2026-03-20,BATO,100,220,O:A260320C00220000,A
,OPASPS,put,,american,2026-03-20,BATO,100,55,O:A260320P00055000,A
,OPASPS,put,,american,2026-03-20,BATO,100,60,O:A260320P00060000,A
,OPASPS,put,,american,2026-03-20,BATO,100,65,O:A260320P00065000,A
,OPASPS,put,,american,2026-03-20,BATO,100,70,O:A260320P00070000,A
,OPASPS,put,,american,2026-03-20,BATO,100,75,O:A260320P00075000,A
,OPASPS,put,,american,2026-03-20,BATO,100,80,O:A260320P00080000,A
,OPASPS,put,,american,2026-03-20,BATO,100,85,O:A260320P00085000,A
,OPASPS,put,,american,2026-03-20,BATO,100,90,O:A260320P00090000,A
,OPASPS,put,,american,2026-03-20,BATO,100,95,O:A260320P00095000,A
,OPASPS,put,,american,2026-03-20,BATO,100,100,O:A260320P00100000,A
,OPASPS,put,,american,2026-03-20,BATO,100,105,O:A260320P00105000,A
,OPASPS,put,,american,2026-03-20,BATO,100,110,O:A260320P00110000,A
,OPASPS,put,,american,2026-03-20,BATO,100,115,O:A260320P00115000,A
,OPASPS,put,,american,2026-03-20,BATO,100,120,O:A260320P00120000,A
,OPASPS,put,,american,2026-03-20,BATO,100,125,O:A260320P00125000,A
,OPASPS,put,,american,2026-03-20,BATO,100,130,O:A260320P00130000,A
,OPASPS,put,,american,2026-03-20,BATO,100,135,O:A260320P00135000,A
,OPASPS,put,,american,2026-03-20,BATO,100,140,O:A260320P00140000,A
,OPASPS,put,,american,2026-03-20,BATO,100,145,O:A260320P00145000,A
,OPASPS,put,,american,2026-03-20,BATO,100,150,O:A260320P00150000,A
,OPASPS,put,,american,2026-03-20,BATO,100,155,O:A260320P00155000,A
,OPASPS,put,,american,2026-03-20,BATO,100,160,O:A260320P00160000,A
,OPASPS,put,,american,2026-03-20,BATO,100,165,O:A260320P00165000,A
,OPASPS,put,,american,2026-03-20,BATO,100,170,O:A260320P00170000,A
,OPASPS,put,,american,2026-03-20,BATO,100,175,O:A260320P00175000,A
,OPASPS,put,,american,2026-03-20,BATO,100,180,O:A260320P00180000,A
,OPASPS,put,,american,2026-03-20,BATO,100,185,O:A260320P00185000,A
,OPASPS,put,,american,2026-03-20,BATO,100,190,O:A260320P00190000,A
,OPASPS,put,,american,2026-03-20,BATO,100,195,O:A260320P00195000,A
,OPASPS,put,,american,2026-03-20,BATO,100,200,O:A260320P00200000,A
,OPASPS,put,,american,2026-03-20,BATO,100,210,O:A260320P00210000,A
,OPASPS,put,,american,2026-03-20,BATO,100,220,O:A260320P00220000,A
,OCASPS,call,,american,2026-06-18,BATO,100,55,O:A260618C00055000,A
,OCASPS,call,,american,2026-06-18,BATO,100,60,O:A260618C00060000,A
,OCASPS,call,,american,2026-06-18,BATO,100,65,O:A260618C00065000,A
,OCASPS,call,,american,2026-06-18,BATO,100,70,O:A260618C00070000,A
,OCASPS,call,,american,2026-06-18,BATO,100,75,O:A260618C00075000,A
,OCASPS,call,,american,2026-06-18,BATO,100,80,O:A260618C00080000,A
,OCASPS,call,,american,2026-06-18,BATO,100,85,O:A260618C00085000,A
,OCASPS,call,,american,2026-06-18,BATO,100,90,O:A260618C00090000,A
,OCASPS,call,,american,2026-06-18,BATO,100,95,O:A260618C00095000,A
